,Batch_1,Batch_2,Batch_3,Batch_4,Batch_5,Batch_6,Batch_7,Batch_8,Batch_9,Batch_10
V258,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702
C4,0.0682,0.0379,0.0196,0.0003,0.0072,0.0118,0.0031,0.0264,0.0223,0.0383
V317,0.001,0.0004,0.0001,0.0001,0.0128,0.0017,0.0254,0.0027,0.0008,0.008
C8,0.0793,0.0515,0.0301,0.0007,0.0025,0.0217,0.0009,0.0363,0.0294,0.0478
V69,0.0844,0.0625,0.041,0.0152,0.0081,0.0563,0.0792,0.0476,0.0542,0.0441
dow_cos,2.1356,0.0235,0.1621,2.1815,4.3114,2.6579,0.8442,0.4109,0.0943,0.2472
V201,0.0756,0.0528,0.0312,0.0012,0.0026,0.0195,0.0017,0.04,0.029,0.0515
V306,0.0006,0.0017,0.0002,0.0013,0.0163,0.0022,0.0767,0.0065,0.0007,0.0063
V126,0.0012,0.0012,0.0002,0.0026,0.0183,0.0025,0.0459,0.0063,0.001,0.0063
V133,0.0,0.0,0.0001,0.0,0.0,0.0,0.0062,0.0,0.0,0.0
C14,0.0185,0.0089,0.0129,0.0039,0.0162,0.0036,0.064,0.0043,0.007,0.0071
card6,8.6902,8.8152,3.6959,9.1311,9.5026,9.0758,9.6089,9.2197,9.0073,9.2114
V294,0.0015,0.0002,0.0002,0.0003,0.0109,0.0022,0.0452,0.0022,0.0013,0.0072
V187,0.0779,0.0491,0.0282,0.0004,0.0031,0.0185,0.0017,0.0335,0.0272,0.0444
V95,0.0009,0.0009,0.0002,0.003,0.003,0.0043,0.0147,0.0062,0.0028,0.007
V287,0.0001,0.0088,0.0048,0.001,0.0214,0.0062,0.0907,0.0071,0.0075,0.0027
V225,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702
M4,0.0028,0.0219,0.0026,0.009,0.0052,0.0133,0.0005,0.0083,0.0227,0.0083
V128,0.0014,0.0051,0.0038,0.0049,0.0253,0.0082,0.0549,0.0152,0.0104,0.0143
dow_sin,4.8855,3.3812,4.0404,3.3393,2.9914,2.2588,3.4232,2.7021,3.3657,3.7557
